class_name,calories_kcal,protein_g,carbs_g,fat_g
apple_pie,237,2.0,34,11
baby_back_ribs,280,22,0,20
baklava,430,6,40,29
beef_carpaccio,150,21,1,7
beef_tartare,167,20,1,9
beet_salad,43,1.6,10,0.2
beignets,350,5,45,17
bibimbap,150,6,20,5
bread_pudding,220,5,32,8
breakfast_burrito,220,10,22,10
bruschetta,168,4,20,8
caesar_salad,190,5,8,16
cannoli,340,6,35,19
caprese_salad,166,10,4,12
carrot_cake,390,4,48,20
ceviche,95,18,5,1
cheese_plate,350,22,2,28
cheesecake,321,5.5,26,22
chicken_curry,165,14,6,10
chicken_quesadilla,280,14,22,15
chicken_wings,290,27,0,19
chocolate_cake,371,5,50,17
chocolate_mousse,280,4,25,18
churros,373,4,45,20
clam_chowder,100,5,10,5
club_sandwich,250,15,22,11
crab_cakes,230,12,12,15
creme_brulee,300,4,24,21
croque_madame,320,17,20,19
cup_cakes,350,4,50,15
deviled_eggs,170,9,1,14
donuts,452,5,51,25
dumplings,200,8,25,7
edamame,121,11,9,5
eggs_benedict,250,12,12,18
escargots,90,16,2,1.4
falafel,333,13,32,18
filet_mignon,267,25,0,18
fish_and_chips,265,12,25,14
foie_gras,462,11,4,44
french_fries,312,3.4,41,15
french_onion_soup,75,4,8,3
french_toast,229,8,25,10
fried_calamari,230,12,15,13
fried_rice,163,4,25,5
frozen_yogurt,159,4,24,4.5
garlic_bread,350,8,40,17
gnocchi,150,3,31,1
greek_salad,110,3,6,9
grilled_cheese_sandwich,350,14,28,20
grilled_salmon,206,22,0,13
guacamole,150,2,9,13
gyoza,210,8,22,10
hamburger,295,17,24,14
hot_and_sour_soup,60,4,6,2
hot_dog,290,10,18,20
huevos_rancheros,180,9,14,10
hummus,166,8,14,10
ice_cream,207,3.5,24,11
lasagna,135,8,12,6
lobster_bisque,130,8,8,7
lobster_roll_sandwich,280,14,25,13
macaroni_and_cheese,310,11,30,15
macarons,400,6,55,18
miso_soup,40,3,4,1.3
mussels,172,24,7,4.5
nachos,346,9,36,19
omelette,154,11,1,12
onion_rings,300,4,32,17
oysters,68,7,4,2.5
pad_thai,250,9,33,9
paella,172,10,20,6
pancakes,227,6,28,10
panna_cotta,280,3,20,20
peking_duck,337,19,0,28
pho,60,5,8,1
pizza,266,11,33,10
pork_chop,231,25,0,14
poutine,280,6,30,15
prime_rib,291,24,0,21
pulled_pork_sandwich,280,18,25,12
ramen,436,18,65,14
ravioli,175,7,25,5
red_velvet_cake,367,4,52,16
risotto,166,4,25,5
samosa,262,5,30,14
sashimi,127,22,0,4
scallops,111,21,5,0.8
seaweed_salad,45,2,5,2
shrimp_and_grits,150,10,15,6
spaghetti_bolognese,151,7,18,6
spaghetti_carbonara,196,8,20,10
spring_rolls,154,4,20,6
steak,271,26,0,19
strawberry_shortcake,290,4,40,13
sushi,150,6,28,1
tacos,226,9,20,12
takoyaki,200,9,22,8
tiramisu,283,5,29,16
tuna_tartare,144,24,1,5
waffles,291,8,33,14
